"lon","lat","iso3c","area_ha","prod"
80.123056,14.728889,"IND",NA,NA
-87.244294,13.023428,"HND",NA,NA
-80.000833,-2.574781,"ECU",NA,NA
-80.187783,-2.992803,"ECU",NA,NA
-80.187783,-2.992803,"ECU",NA,NA
-80.071275,-3.452103,"ECU",NA,NA
-80.224383,-3.012578,"ECU",NA,NA
-80.224383,-3.012578,"ECU",NA,NA
-87.251928,12.998864,"HND",NA,NA
-80.607276,-2.450972,"ECU",NA,NA
109.120414,11.82855,"VNM",NA,NA
-79.860214,-2.286731,"ECU",NA,NA
-79.866298,-2.264349,"ECU",NA,NA
-79.859119,-2.288094,"ECU",NA,NA
-79.883275,-2.377756,"ECU",NA,NA
99.406389,7.368889,"THA",NA,NA
-87.269952,13.124543,"HND",NA,NA
-87.275051,12.999111,"HND",NA,NA
105.055742,8.815307,"VNM",NA,NA
81.112361,16.069389,"IND",NA,NA
81.112361,16.069389,"IND",NA,NA
-79.859022,-2.286481,"ECU",NA,NA
-87.172827,12.847134,"NIC",NA,NA
104.971636,8.816306,"VNM",NA,NA
107.401389,16.728611,"VNM",NA,NA
104.973417,8.819959,"VNM",NA,NA
107.420244,16.708968,"VNM",NA,NA
105.914806,9.290194,"VNM",NA,NA
105.242175,8.778741,"VNM",NA,NA
-88.451778,16.492817,"BLZ",NA,NA
-88.420183,16.570683,"BLZ",NA,NA
-88.403383,16.596253,"BLZ",NA,NA
106.80831,20.819586,"VNM",NA,NA
104.583861,10.343861,"VNM",NA,NA
106.0795,9.447006,"VNM",NA,NA
-80.633797,-2.42799,"ECU",NA,NA
109.19278,12.611666,"VNM",NA,NA
105.227111,8.844861,"VNM",NA,NA
-79.828381,-2.238693,"ECU",NA,NA
105.794361,-4.049333,"IDN",NA,NA
106.039808,9.386114,"VNM",NA,NA
-87.303439,12.931014,"NIC",NA,NA
106.106944,9.44025,"VNM",NA,NA
-79.61735,-2.670838,"ECU",NA,NA
99.208056,9.25325,"THA",NA,NA
105.287947,9.139914,"VNM",NA,NA
106.128528,9.426117,"VNM",NA,NA
108.741419,11.274003,"VNM",NA,NA
105.210333,8.835167,"VNM",NA,NA
105.400856,9.093542,"VNM",NA,NA
106.113194,9.342844,"VNM",NA,NA
81.772269,16.401917,"IND",NA,NA
81.713311,16.390372,"IND",NA,NA
81.730525,16.343189,"IND",NA,NA
107.378966,16.733468,"VNM",NA,NA
81.510751,16.507177,"IND",NA,NA
164.668944,-20.946539,"NCL",NA,NA
165.694861,-21.739028,"NCL",NA,NA
82.121083,16.863119,"IND",NA,NA
106.641158,10.020804,"VNM",NA,NA
106.723056,10.263706,"VNM",NA,NA
105.7939,9.250828,"VNM",NA,NA
47.037917,-15.568425,"MDG",NA,NA
80.165236,15.496206,"IND",NA,NA
107.303306,10.442689,"VNM",NA,NA
87.899997,21.783331,"IND",NA,NA
87.702482,21.6681,"IND",NA,NA
105.238961,8.851989,"VNM",NA,NA
81.732681,16.835086,"IND",NA,NA
105.264806,9.261167,"VNM",NA,NA
105.082111,8.675278,"VNM",NA,NA
106.660583,10.061917,"VNM",NA,NA
147.486569,-19.4921,"AUS",NA,NA
81.733972,16.864194,"IND",NA,NA
-79.995128,-2.523639,"ECU",NA,NA
-80.035094,-2.590506,"ECU",NA,NA
-80.035094,-2.590506,"ECU",NA,NA
-80.035094,-2.590506,"ECU",NA,NA
-80.164842,-2.460953,"ECU",NA,NA
-80.161542,-2.475353,"ECU",NA,NA
-80.163622,-2.475353,"ECU",NA,NA
-79.963975,-2.581458,"ECU",NA,NA
86.818019,21.145033,"IND",NA,NA
82.220278,17.618889,"IND",NA,NA
80.161903,15.505028,"IND",NA,NA
106.158389,9.356525,"VNM",NA,NA
83.799,18.17,"IND",NA,NA
108.74225,11.259028,"VNM",NA,NA
113.17,-7.73,"IDN",NA,NA
80.21418,15.705228,"IND",NA,NA
78.941694,9.644722,"IND",NA,NA
78.942333,9.640778,"IND",NA,NA
78.941694,9.641806,"IND",NA,NA
78.941694,9.641806,"IND",NA,NA
106.636528,10.002083,"VNM",NA,NA
105.838306,-4.594833,"IDN",NA,NA
105.830389,-4.617222,"IDN",NA,NA
86.975639,21.428833,"IND",NA,NA
110.347319,21.069711,"CHN",NA,NA
79.237722,10.183778,"IND",NA,NA
87.740961,21.894608,"IND",NA,NA
87.712672,21.697797,"IND",NA,NA
87.73825,21.701681,"IND",NA,NA
87.728844,21.701128,"IND",NA,NA
80.149306,14.378583,"IND",NA,NA
105.602919,9.180386,"VNM",NA,NA
105.600978,9.178889,"VNM",NA,NA
79.966294,14.180694,"IND",NA,NA
80.161562,14.397502,"IND",NA,NA
105.207722,8.832778,"VNM",NA,NA
105.272222,8.808722,"VNM",NA,NA
99.82325,6.8305,"THA",NA,NA
99.757528,6.951611,"THA",NA,NA
99.757528,6.951611,"THA",NA,NA
78.096667,8.663556,"IND",NA,NA
78.101194,8.665278,"IND",NA,NA
78.094694,8.663667,"IND",NA,NA
-72.010833,10.001667,"VEN",NA,NA
-71.158333,11.013611,"VEN",NA,NA
80.843978,15.803467,"IND",NA,NA
80.855494,15.822317,"IND",NA,NA
81.306878,16.319214,"IND",NA,NA
-80.349763,-0.634573,"ECU",NA,NA
-80.385704,-0.624624,"ECU",NA,NA
-80.388858,-0.614797,"ECU",NA,NA
-80.392844,-0.62043,"ECU",NA,NA
-80.388035,-0.633579,"ECU",NA,NA
105.786269,9.292239,"VNM",NA,NA
-87.428056,13.262778,"HND",NA,NA
-87.460833,13.256389,"HND",NA,NA
99.254514,10.370517,"THA",NA,NA
106.672944,10.033389,"VNM",NA,NA
-79.869214,-2.364628,"ECU",NA,NA
-79.756536,-2.766581,"ECU",NA,NA
-79.86265,-2.4377,"ECU",NA,NA
-79.814908,-2.341703,"ECU",NA,NA
-71.988056,10.11,"VEN",NA,NA
99.536058,9.214556,"THA",NA,NA
-80.387417,-3.515444,"PER",NA,NA
106.159094,9.391607,"VNM",NA,NA
106.153526,9.375861,"VNM",NA,NA
-79.813408,-2.328156,"ECU",NA,NA
106.159057,9.420584,"VNM",NA,NA
106.156851,9.418865,"VNM",NA,NA
106.157974,9.419862,"VNM",NA,NA
106.153676,9.420822,"VNM",NA,NA
106.156282,9.418275,"VNM",NA,NA
